version	flags	bench	param	threads	avg	min	max	var
2009-07-07 15:05		all-interval	50	1	0.072	0.01	0.32	0.007056
2009-07-07 15:05		all-interval	50	2	0.0293333333333333	0.01	0.08	0.000319555555555556
2009-07-07 15:05		all-interval	50	4	0.0256666666666667	0.01	0.05	0.000157888888888889
2009-07-07 15:05		all-interval	50	8	0.028	0.02	0.07	0.000142666666666667
2009-07-07 15:05		all-interval	50	16	0.0303333333333334	0.03	0.04	3.22222222222223e-06
2009-07-07 15:05		all-interval	100	1	1.26033333333333	0.23	6.53	2.19730322222222
2009-07-07 15:05		all-interval	100	2	0.817333333333333	0.13	1.93	0.246306222222222
2009-07-07 15:05		all-interval	100	4	0.501666666666667	0.13	2.0	0.176213888888889
2009-07-07 15:05		all-interval	100	8	0.28	0.1	0.76	0.0260466666666667
2009-07-07 15:05		all-interval	100	16	0.207666666666667	0.13	0.36	0.00702455555555556
2009-07-07 15:05		all-interval	150	1	11.4013333333333	0.47	40.14	88.5479248888889
2009-07-07 15:05		all-interval	150	2	3.675	0.53	13.15	8.74797166666667
2009-07-07 15:05		all-interval	150	4	1.963	0.49	5.61	1.432741
2009-07-07 15:05		all-interval	150	8	1.466	0.53	4.0	0.795457333333333
2009-07-07 15:05		all-interval	150	16	0.938333333333333	0.34	2.4	0.271740555555556
2009-07-07 15:05		all-interval	200	1	29.807	2.11	126.04	995.640574333333
2009-07-07 15:05		all-interval	200	2	21.931	2.89	59.77	225.822362333333
2009-07-07 15:05		all-interval	200	4	11.541	1.41	35.53	86.625349
2009-07-07 15:05		all-interval	200	8	4.15	1.43	20.0	12.3791333333333
2009-07-07 15:05		all-interval	200	16	3.16933333333333	1.4	6.21	1.53067288888889
2009-07-07 15:05		all-interval	250	1	60.9646666666667	10.06	166.81	1655.93339822222
2009-07-07 15:05		all-interval	250	2	35.8613333333333	4.26	132.58	831.191804888889
2009-07-07 15:05		all-interval	250	4	18.1016666666667	3.63	47.97	120.855600555556
2009-07-07 15:05		all-interval	250	8	12.281	3.16	29.4	51.5533223333333
2009-07-07 15:05		all-interval	250	16	7.025	3.42	17.74	14.9299183333333
2009-07-07 15:05		all-interval	300	1	162.731	7.77	886.98	31207.7162623333
2009-07-07 15:05		all-interval	300	2	82.7266666666666	11.83	292.87	3955.47399555556
2009-07-07 15:05		all-interval	300	4	56.0723333333333	9.43	174.86	1267.58008455556
2009-07-07 15:05		all-interval	300	8	25.65	5.88	71.06	240.253806666667
2009-07-07 15:05		all-interval	300	16	17.0746666666667	7.22	50.91	79.4310382222222
2009-07-09 23:15		all-interval-p30	50	1	0.0756666666666667	0.01	0.41	0.00613122222222222
2009-07-09 23:15		all-interval-p30	50	2	0.0456666666666667	0.01	0.16	0.00102455555555556
2009-07-09 23:15		all-interval-p30	50	4	0.026	0.01	0.06	0.000224
2009-07-09 23:15		all-interval-p30	50	8	0.0253333333333333	0.01	0.05	7.82222222222222e-05
2009-07-09 23:15		all-interval-p30	50	16	0.0306666666666667	0.02	0.04	1.28888888888889e-05
2009-07-09 23:15		all-interval-p30	100	1	1.37666666666667	0.1	5.45	2.12388222222222
2009-07-09 23:15		all-interval-p30	100	2	0.879333333333333	0.11	3.84	0.718526222222222
2009-07-09 23:15		all-interval-p30	100	4	0.451666666666667	0.1	1.73	0.110307222222222
2009-07-09 23:15		all-interval-p30	100	8	0.282333333333333	0.11	0.7	0.0276512222222222
2009-07-09 23:15		all-interval-p30	100	16	0.205666666666667	0.09	0.42	0.00862455555555555
2009-07-09 23:15		all-interval-p30	150	1	6.96	1.15	38.54	54.0589133333333
2009-07-09 23:15		all-interval-p30	150	2	5.34	0.55	17.92	15.25612
2009-07-09 23:15		all-interval-p30	150	4	1.78133333333333	0.47	4.0	1.03382488888889
2009-07-09 23:15		all-interval-p30	150	8	1.39666666666667	0.51	3.42	0.517688888888889
2009-07-09 23:15		all-interval-p30	150	16	0.779666666666667	0.49	1.95	0.141936555555556
2009-07-09 23:15		all-interval-p30	200	1	20.343	1.56	60.37	256.862494333333
2009-07-09 23:15		all-interval-p30	200	2	15.6013333333333	1.57	69.03	239.992478222222
2009-07-09 23:15		all-interval-p30	200	4	7.93766666666666	1.55	33.37	38.8118445555556
2009-07-09 23:15		all-interval-p30	200	8	4.83866666666667	1.52	15.06	11.9560448888889
2009-07-09 23:15		all-interval-p30	200	16	2.96966666666667	1.5	6.08	1.93219655555556
2009-07-09 23:15		all-interval-p30	250	1	78.0356666666667	4.24	259.38	4422.06407788889
2009-07-09 23:15		all-interval-p30	250	2	30.7443333333333	4.54	120.61	691.966831222222
2009-07-09 23:15		all-interval-p30	250	4	17.962	3.73	43.6	88.131616
2009-07-09 23:15		all-interval-p30	250	8	12.7616666666667	3.6	34.54	63.3750605555556
2009-07-09 23:15		all-interval-p30	250	16	7.61166666666667	3.59	29.08	26.0867205555556
2009-07-09 23:15		all-interval-p30	300	1	152.536	14.02	618.87	20344.5316773333
2009-07-09 23:15		all-interval-p30	300	2	95.8913333333333	7.06	401.04	8002.06841822222
2009-07-09 23:15		all-interval-p30	300	4	41.1856666666667	8.45	183.45	1407.58280455556
2009-07-09 23:15		all-interval-p30	300	8	20.8936666666667	7.3	59.34	244.856736555556
2009-07-09 23:15		all-interval-p30	300	16	14.9126666666667	6.26	37.92	60.4791995555556
2009-07-09 23:15		all-interval-p40	50	1	0.065	0.01	0.33	0.00367833333333333
2009-07-09 23:15		all-interval-p40	50	2	0.0436666666666667	0.01	0.15	0.00104322222222222
2009-07-09 23:15		all-interval-p40	50	4	0.025	0.01	0.06	0.000218333333333333
2009-07-09 23:15		all-interval-p40	50	8	0.0223333333333333	0.01	0.04	3.78888888888889e-05
2009-07-09 23:15		all-interval-p40	50	16	0.0306666666666667	0.02	0.04	1.28888888888889e-05
2009-07-09 23:15		all-interval-p40	100	1	1.614	0.19	5.15	1.883144
2009-07-09 23:15		all-interval-p40	100	2	1.02833333333333	0.15	5.1	0.965373888888889
2009-07-09 23:15		all-interval-p40	100	4	0.489	0.12	1.86	0.128515666666667
2009-07-09 23:15		all-interval-p40	100	8	0.257666666666667	0.12	0.62	0.0187445555555556
2009-07-09 23:15		all-interval-p40	100	16	0.208333333333333	0.12	0.39	0.00618722222222222
2009-07-09 23:15		all-interval-p40	150	1	5.176	0.96	13.15	16.0418906666667
2009-07-09 23:15		all-interval-p40	150	2	4.97366666666667	0.52	24.45	25.9047432222222
2009-07-09 23:15		all-interval-p40	150	4	2.78733333333333	0.53	8.1	3.51864622222222
2009-07-09 23:15		all-interval-p40	150	8	1.44366666666667	0.48	3.64	0.613069888888889
2009-07-09 23:15		all-interval-p40	150	16	0.91	0.45	2.08	0.165186666666667
2009-07-09 23:15		all-interval-p40	200	1	28.6913333333333	2.88	73.0	503.816504888889
2009-07-09 23:15		all-interval-p40	200	2	13.9836666666667	1.7	53.91	132.275623222222
2009-07-09 23:15		all-interval-p40	200	4	8.61866666666667	1.8	32.32	39.1165382222222
2009-07-09 23:15		all-interval-p40	200	8	3.96466666666667	1.31	14.39	8.77459822222222
2009-07-09 23:15		all-interval-p40	200	16	2.933	1.26	6.81	1.91182766666667
2009-07-09 23:15		all-interval-p40	250	1	78.483	4.83	184.34	3441.98233433333
2009-07-09 23:15		all-interval-p40	250	2	32.671	4.5	154.38	1018.49004233333
2009-07-09 23:15		all-interval-p40	250	4	19.64	3.14	67.26	305.378633333333
2009-07-09 23:15		all-interval-p40	250	8	13.2953333333333	3.58	39.62	77.5436315555555
2009-07-09 23:15		all-interval-p40	250	16	8.13033333333333	3.55	40.52	48.0466232222222
2009-07-09 23:15		all-interval-p40	300	1	162.251	7.21	848.92	40784.959829
2009-07-09 23:15		all-interval-p40	300	2	59.782	7.08	244.27	3455.10328266667
2009-07-09 23:15		all-interval-p40	300	4	30.2806666666667	7.12	101.34	562.051212888889
2009-07-09 23:15		all-interval-p40	300	8	27.0836666666667	7.28	126.28	562.196269888889
2009-07-09 23:15		all-interval-p40	300	16	15.7463333333333	7.6	30.03	31.8354765555555
2009-07-07 15:05		alpha	0	1	0.0983333333333333	0.02	0.33	0.00690055555555556
2009-07-07 15:05		alpha	0	2	0.0743333333333333	0.01	0.3	0.00615788888888889
2009-07-07 15:05		alpha	0	4	0.0403333333333334	0.01	0.13	0.000709888888888889
2009-07-07 15:05		alpha	0	8	0.0296666666666667	0.01	0.1	0.000316555555555555
2009-07-07 15:05		alpha	0	16	0.0313333333333334	0.02	0.05	3.82222222222222e-05
2009-07-07 15:05		langford	80	1	1.67766666666667	0.38	3.17	0.710031222222222
2009-07-07 15:05		langford	80	2	1.32233333333333	0.22	3.73	0.813217888888889
2009-07-07 15:05		langford	80	4	0.925333333333333	0.28	1.94	0.148371555555556
2009-07-07 15:05		langford	80	8	0.629333333333333	0.2	1.49	0.0663795555555556
2009-07-07 15:05		langford	80	16	0.53	0.26	1.12	0.0404
2009-07-07 15:05		langford	100	1	5.394	0.95	29.6	35.7210906666667
2009-07-07 15:05		langford	100	2	2.573	0.68	5.45	1.810741
2009-07-07 15:05		langford	100	4	1.60433333333333	0.75	2.58	0.269797888888889
2009-07-07 15:05		langford	100	8	1.39233333333333	0.36	2.35	0.316691222222222
2009-07-07 15:05		langford	100	16	1.11933333333333	0.62	2.21	0.117826222222222
2009-07-07 15:05		langford	120	1	8.09	1.94	36.37	54.8219466666667
2009-07-07 15:05		langford	120	2	5.40066666666667	1.18	13.06	10.8932862222222
2009-07-07 15:05		langford	120	4	3.283	1.22	7.29	2.66547433333333
2009-07-07 15:05		langford	120	8	2.81366666666667	1.17	8.59	1.80106988888889
2009-07-07 15:05		langford	120	16	1.842	0.76	2.88	0.228676
2009-07-07 15:05		langford	140	1	13.877	3.32	34.7	48.2964943333333
2009-07-07 15:05		langford	140	2	7.679	2.02	15.98	11.312629
2009-07-07 15:05		langford	140	4	6.89733333333333	2.07	15.61	14.0809995555556
2009-07-07 15:05		langford	140	8	4.66233333333333	1.43	9.47	2.83869788888889
2009-07-07 15:05		langford	140	16	3.05866666666667	1.52	5.12	0.820571555555556
2009-07-07 15:05		langford	160	1	26.4183333333333	3.66	137.24	646.495073888889
2009-07-07 15:05		langford	160	2	14.7856666666667	4.36	37.89	79.5472178888889
2009-07-07 15:05		langford	160	4	10.4623333333333	3.77	26.58	32.5481978888889
2009-07-07 15:05		langford	160	8	8.37133333333333	3.94	17.79	11.0437448888889
2009-07-07 15:05		langford	160	16	6.078	2.96	11.94	4.47966266666667
2009-07-08 15:26		magic-square	30	1	0.852333333333333	0.06	2.62	0.451324555555556
2009-07-08 15:26		magic-square	30	2	0.392	0.06	1.22	0.061716
